text,label,clean_text,source,ticker,date,label_method,label_confidence,sentiment_score,dataset_source
"Cek Rekomendasi Saham Danantara: ANTM, TINS, BBRI, TLKM Bisa Jadi Pilihan - kontan.co.id",neutral,cek rekomendasi saham danantara antm tins bbri tlkm bisa jadi pilihan kontan co id,kontan.co.id,BBRI,2026-06-20,bootstrap_tugas_nlp_ai_trading,0.559,0.0,market_issues
Asing Mendadak Buang 3 Saham Ini - investor.id,neutral,asing mendadak buang saham ini investor id,investor.id,BBRI,2026-06-22,bootstrap_tugas_nlp_ai_trading,0.579,0.0,market_issues
"IHSG Bergerak Dua Arah Pagi Ini, Saham Bank Raksasa Kompak Melemah - detikFinance",neutral,ihsg bergerak dua arah pagi ini saham bank raksasa kompak melemah detikfinance,detikFinance,BBRI,2026-06-22,bootstrap_tugas_nlp_ai_trading,0.572,0.0,market_issues
"5 Saham yang Berpotensi Bergerak Signifikan Selasa Besok, Apa Aja? - Mitrapost.com",neutral,saham yang berpotensi bergerak signifikan selasa besok apa aja mitrapost com,Mitrapost.com,BBRI,2026-06-22,bootstrap_tugas_nlp_ai_trading,0.6137,0.0,market_issues
"Simak Rekomendasi Saham Teknikal CTRA, ASII dan BBRI untuk Hari Ini (23/6) - kontan.co.id",neutral,simak rekomendasi saham teknikal ctra asii dan bbri untuk hari ini kontan co id,kontan.co.id,BBRI,2026-06-22,bootstrap_tugas_nlp_ai_trading,0.588,0.0,market_issues
"Biang Kerok IHSG Anjlok 3,56% Meski RI Tetap di Emerging Market - detikFinance",neutral,biang kerok ihsg anjlok meski ri tetap di emerging market detikfinance,detikFinance,BBRI,2026-06-24,bootstrap_tugas_nlp_ai_trading,0.5605,0.0,market_issues
"IHSG ke Bawah 5.900, Terbeban Saham-saham Ini - Bloomberg Technoz",neutral,ihsg ke bawah terbeban saham saham ini bloomberg technoz,Bloomberg Technoz,BBRI,2026-06-24,bootstrap_tugas_nlp_ai_trading,0.5998,0.0,market_issues
"Sejumlah Faktor Ini Picu IHSG Turun Parah 3,56% Hari Ini - InvestorTrust",neutral,sejumlah faktor ini picu ihsg turun parah hari ini investortrust,InvestorTrust,BBRI,2026-06-24,bootstrap_tugas_nlp_ai_trading,0.5905,0.0,market_issues
Update MSCI 2026: Isu Downgrade dan Arah IHSG - maybanktrade.co.id,neutral,update msci isu downgrade dan arah ihsg maybanktrade co id,maybanktrade.co.id,BBRI,2026-06-24,bootstrap_tugas_nlp_ai_trading,0.5674,0.0,market_issues
"Video: Perang Mereda Tapi IHSG Belum Pulih, Ada Apa? - 20detik",neutral,video perang mereda tapi ihsg belum pulih ada apa detik,20detik,BBRI,2026-06-24,bootstrap_tugas_nlp_ai_trading,0.581,0.0,market_issues
BBRI akan menggelar paparan publik tahunan kepada investor.,neutral,bbri akan menggelar paparan publik tahunan kepada investor,seed_neutral,BBRI,2026-07-03,manual_seed_label,1.0,0.0,seed_examples
"10 Saham Net Sell Asing IHSG Sesi I 3 Juli 2026, BBRI Masih Teratas - Kompas.com",neutral,saham net sell asing ihsg sesi i juli bbri masih teratas kompas com,Kompas.com,BBRI,2026-07-03,bootstrap_tugas_nlp_ai_trading,0.572,0.0,market_issues
BMRI menggelar konferensi pers untuk menjelaskan strategi bisnis.,neutral,bmri menggelar konferensi pers untuk menjelaskan strategi bisnis,seed_neutral,BMRI,2026-07-03,manual_seed_label,1.0,0.0,seed_examples
GOTO mengumumkan jadwal penyampaian laporan keuangan berikutnya.,neutral,goto mengumumkan jadwal penyampaian laporan keuangan berikutnya,seed_neutral,GOTO,2026-07-03,manual_seed_label,1.0,0.0,seed_examples
"IHSG Anjlok Parah 3,22% di Sesi II, Saham Emiten Prajogo BREN dan TPIA Turun Parah - InvestorTrust",neutral,ihsg anjlok parah di sesi ii saham emiten prajogo bren dan tpia turun parah investortrust,InvestorTrust,IHSG,2026-06-24,bootstrap_tugas_nlp_ai_trading,0.567,0.0,market_issues
"IHSG Tersungkur, Aksi Jual Massal Seret Saham-Saham Unggulan - TopBusiness.id",neutral,ihsg tersungkur aksi jual massal seret saham saham unggulan topbusiness id,TopBusiness.id,IHSG,2026-06-24,bootstrap_tugas_nlp_ai_trading,0.5612,0.0,market_issues
IHSG Hari Ini: 7 Insight Penting yang Wajib Kamu Tahu - maybanktrade.co.id,neutral,ihsg hari ini insight penting yang wajib kamu tahu maybanktrade co id,maybanktrade.co.id,IHSG,2026-06-29,bootstrap_tugas_nlp_ai_trading,0.5503,0.0,market_issues
Bursa Efek Indonesia mengumumkan jadwal perdagangan terbaru untuk pekan depan.,neutral,bursa efek indonesia mengumumkan jadwal perdagangan terbaru untuk pekan depan,seed_neutral,IHSG,2026-07-03,manual_seed_label,1.0,0.0,seed_examples
Indeks saham bergerak terbatas menjelang rilis data ekonomi domestik.,neutral,indeks saham bergerak terbatas menjelang rilis data ekonomi domestik,seed_neutral,IHSG,2026-07-03,manual_seed_label,1.0,0.0,seed_examples
Investor menunggu pengumuman bank sentral sebelum mengambil posisi baru.,neutral,investor menunggu pengumuman bank sentral sebelum mengambil posisi baru,seed_neutral,IHSG,2026-07-03,manual_seed_label,1.0,0.0,seed_examples
INDF mengumumkan agenda rapat umum pemegang saham luar biasa.,neutral,indf mengumumkan agenda rapat umum pemegang saham luar biasa,seed_neutral,INDF,2026-07-03,manual_seed_label,1.0,0.0,seed_examples
"Matahari Siapkan Dividen Jadi Rp250 per Saham, Apa Artinya? - Ajaib",neutral,matahari siapkan dividen jadi rp per saham apa artinya ajaib,Ajaib,LPPF,2026-03-04,bootstrap_tugas_nlp_ai_trading,0.6336,0.0,market_issues
LPPF Bagi Dividen Rp250 per Saham! Yield-nya Segini - Bareksa.com,neutral,lppf bagi dividen rp per saham yield nya segini bareksa com,Bareksa.com,LPPF,2026-04-17,bootstrap_tugas_nlp_ai_trading,0.5614,0.0,market_issues
Matahari Department Store (LPPF) Akan Berganti Nama dan Menyebar Dividen Final - KONTAN,neutral,matahari department store lppf akan berganti nama dan menyebar dividen final kontan,KONTAN,LPPF,2026-04-17,bootstrap_tugas_nlp_ai_trading,0.5557,0.0,market_issues
"Matahari (LPPF) Siap Bagi Dividen Rp250 per Saham, Catat Jadwalnya! - Ajaib",neutral,matahari lppf siap bagi dividen rp per saham catat jadwalnya ajaib,Ajaib,LPPF,2026-04-17,bootstrap_tugas_nlp_ai_trading,0.667,0.0,market_issues
"Besok (23/4) Cum Date, Dividen Yield Saham LPPF 12,66%, 1 Lot Dapat Rp 25.000 - TradingView",neutral,besok cum date dividen yield saham lppf lot dapat rp tradingview,TradingView,LPPF,2026-04-21,bootstrap_tugas_nlp_ai_trading,0.5618,0.0,market_issues
"LPPF Ganti Nama Jadi MDS Retailing, Matahari Buka Babak Baru Bisnis Ritel Multi-Konsep - Bareksa.com",neutral,lppf ganti nama jadi mds retailing matahari buka babak baru bisnis ritel multi konsep bareksa com,Bareksa.com,LPPF,2026-04-22,bootstrap_tugas_nlp_ai_trading,0.5607,0.0,market_issues
MDKA menyampaikan informasi administrasi terkait kegiatan eksplorasi.,neutral,mdka menyampaikan informasi administrasi terkait kegiatan eksplorasi,seed_neutral,MDKA,2026-07-03,manual_seed_label,1.0,0.0,seed_examples
"Bangkit dari Tekanan, IHSG-Rupiah Hari Ini Diuji 10 Sentimen Besar - CNBC Indonesia",neutral,bangkit dari tekanan ihsg rupiah hari ini diuji sentimen besar cnbc indonesia,CNBC Indonesia,SAHAM IHSG HARI INI,2026-06-03,bootstrap_tugas_nlp_ai_trading,0.5546,0.0,market_issues
Arah IHSG Hari Ini: Masih Berisiko Terkoreksi ke 5.300 - Market - Bloomberg Technoz,neutral,arah ihsg hari ini masih berisiko terkoreksi ke market bloomberg technoz,Bloomberg Technoz,SAHAM IHSG HARI INI,2026-06-08,bootstrap_tugas_nlp_ai_trading,0.5589,0.0,market_issues
"Awal Pekan, Sentimen Domestik Bikin Pasar Suram, Simak Rekomendasi Saham Hari Ini - KONTAN",neutral,awal pekan sentimen domestik bikin pasar suram simak rekomendasi saham hari ini kontan,KONTAN,SAHAM IHSG HARI INI,2026-06-08,bootstrap_tugas_nlp_ai_trading,0.5903,0.0,market_issues
"IHSG Hari Ini Dibuka Melemah, Sentimen Pasar Didominasi Perkembangan Timur Tengah - Koran Jakarta ®",neutral,ihsg hari ini dibuka melemah sentimen pasar didominasi perkembangan timur tengah koran jakarta,Koran Jakarta ®,SAHAM IHSG HARI INI,2026-06-11,bootstrap_tugas_nlp_ai_trading,0.5948,0.0,market_issues
"Simak Arah & Prediksi IHSG Hari Ini, Plus Saham Pilihan Pasar - Bloomberg Technoz",neutral,simak arah prediksi ihsg hari ini plus saham pilihan pasar bloomberg technoz,Bloomberg Technoz,SAHAM IHSG HARI INI,2026-06-15,bootstrap_tugas_nlp_ai_trading,0.6244,0.0,market_issues
"IHSG Bergerak Fluktuatif Jelang Review MSCI dan Keputusan BI, Ini yang Perlu Dicermati! - Ajaib",neutral,ihsg bergerak fluktuatif jelang review msci dan keputusan bi ini yang perlu dicermati ajaib,Ajaib,SAHAM IHSG HARI INI,2026-06-18,bootstrap_tugas_nlp_ai_trading,0.6121,0.0,market_issues
Analisis IHSG Hari Ini Faktor BI Rate dan Sentimen Transparansi - merahputih.com,neutral,analisis ihsg hari ini faktor bi rate dan sentimen transparansi merahputih com,merahputih.com,SAHAM IHSG HARI INI,2026-06-19,bootstrap_tugas_nlp_ai_trading,0.5864,0.0,market_issues
"Jelang Putusan MSCI 24 Juni 2026, IPOT Beberkan Sentimen Penentu Arah Pasar - KabarBursa.com",neutral,jelang putusan msci juni ipot beberkan sentimen penentu arah pasar kabarbursa com,KabarBursa.com,SAHAM IHSG HARI INI,2026-06-24,bootstrap_tugas_nlp_ai_trading,0.552,0.0,market_issues
"IHSG Hari Ini Menguat, Ini Penyebabnya dan Deretan Saham yang Melejit - Ajaib",neutral,ihsg hari ini menguat ini penyebabnya dan deretan saham yang melejit ajaib,Ajaib,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-03-10,bootstrap_tugas_nlp_ai_trading,0.6608,0.0,market_issues
"IHSG Hari Ini Ditutup Menguat 2,75% ke 7.302, Rebound dari Zona Merah - Ajaib",neutral,ihsg hari ini ditutup menguat ke rebound dari zona merah ajaib,Ajaib,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-03-25,bootstrap_tugas_nlp_ai_trading,0.5605,0.0,market_issues
Apa Penyebab IHSG Turun Hari Ini! Simak Faktor Utamanya! - Ajaib,neutral,apa penyebab ihsg turun hari ini simak faktor utamanya ajaib,Ajaib,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-03-31,bootstrap_tugas_nlp_ai_trading,0.6446,0.0,market_issues
IHSG Hari Ini: Dampak MSCI & FTSE serta Prospek WIFI - maybanktrade.co.id,neutral,ihsg hari ini dampak msci ftse serta prospek wifi maybanktrade co id,maybanktrade.co.id,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-04-09,bootstrap_tugas_nlp_ai_trading,0.5708,0.0,market_issues
OJK Temui MSCI? IHSG Hari ini & Prospek Saham Pilihan - maybanktrade.co.id,neutral,ojk temui msci ihsg hari ini prospek saham pilihan maybanktrade co id,maybanktrade.co.id,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-04-17,bootstrap_tugas_nlp_ai_trading,0.5928,0.0,market_issues
"IHSG Hari Ini Ditutup Rebound 1,1%, Ini Sentimen Pendorongnya - Ajaib",neutral,ihsg hari ini ditutup rebound ini sentimen pendorongnya ajaib,Ajaib,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-05-22,bootstrap_tugas_nlp_ai_trading,0.6196,0.0,market_issues
"IHSG Jatuh 2% ke Bawah Level 6.000, Ini Faktor Penyebabnya! - Ajaib",neutral,ihsg jatuh ke bawah level ini faktor penyebabnya ajaib,Ajaib,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-05-22,bootstrap_tugas_nlp_ai_trading,0.5509,0.0,market_issues
Penyebab IHSG Anjlok: Faktor Utama dan Cara Menghadapinya - Pegadaian,neutral,penyebab ihsg anjlok faktor utama dan cara menghadapinya pegadaian,Pegadaian,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-06-08,bootstrap_tugas_nlp_ai_trading,0.6187,0.0,market_issues
"IHSG Hari Ini Kembali Menguat, Saham Energi Ikut Terdongkrak - Listrik Indonesia",neutral,ihsg hari ini kembali menguat saham energi ikut terdongkrak listrik indonesia,Listrik Indonesia,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-06-11,bootstrap_tugas_nlp_ai_trading,0.5503,0.0,market_issues
"IHSG Hari Ini Anjlok, Bagaimana Nasib Saham Energi? - Listrik Indonesia",neutral,ihsg hari ini anjlok bagaimana nasib saham energi listrik indonesia,Listrik Indonesia,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-06-18,bootstrap_tugas_nlp_ai_trading,0.5849,0.0,market_issues
"Dibuka Menguat, IHSG Hari Ini Diprediksi Datar Seiring Pasar Cermati Sentimen Domestik-Global - Koran Jakarta ®",neutral,dibuka menguat ihsg hari ini diprediksi datar seiring pasar cermati sentimen domestik global koran jakarta,Koran Jakarta ®,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-06-22,bootstrap_tugas_nlp_ai_trading,0.6024,0.0,market_issues
"IHSG Hari Ini Anjlok 1,25 Jelang Pengumuman MSCI Review - merahputih.com",neutral,ihsg hari ini anjlok jelang pengumuman msci review merahputih com,merahputih.com,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-06-22,bootstrap_tugas_nlp_ai_trading,0.5874,0.0,market_issues
"Melemah Lagi, IHSG Dihantui Sentimen Geopolitik dan Keputusan Final MSCI - Kompas.id",neutral,melemah lagi ihsg dihantui sentimen geopolitik dan keputusan final msci kompas id,Kompas.id,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-06-22,bootstrap_tugas_nlp_ai_trading,0.5816,0.0,market_issues
"IHSG Hari Ini Loyo, Saham Energi Campur Aduk - Listrik Indonesia",neutral,ihsg hari ini loyo saham energi campur aduk listrik indonesia,Listrik Indonesia,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-06-23,bootstrap_tugas_nlp_ai_trading,0.5642,0.0,market_issues
"IHSG Hari Ini Melemah Tajam, Koreksi Global Seret Pasar Domestik - Koran Jakarta ®",neutral,ihsg hari ini melemah tajam koreksi global seret pasar domestik koran jakarta,Koran Jakarta ®,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-06-23,bootstrap_tugas_nlp_ai_trading,0.5815,0.0,market_issues
"IHSG Tertekan Menjelang MSCI Review, Saham Bank Ini Masih Jadi Pilihan Menarik - TradingView",neutral,ihsg tertekan menjelang msci review saham bank ini masih jadi pilihan menarik tradingview,TradingView,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-06-23,bootstrap_tugas_nlp_ai_trading,0.5819,0.0,market_issues
"Menunggu Pengumuman MSCI, IHSG Dibuka Turun 0,3% - CNBC Indonesia",neutral,menunggu pengumuman msci ihsg dibuka turun cnbc indonesia,CNBC Indonesia,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-06-23,bootstrap_tugas_nlp_ai_trading,0.5981,0.0,market_issues
IHSG Hari Ini 24 Juni 2026: Dibuka Menguat ke 6.112 - Media Indonesia,neutral,ihsg hari ini juni dibuka menguat ke media indonesia,Media Indonesia,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-06-24,bootstrap_tugas_nlp_ai_trading,0.589,0.0,market_issues
"IHSG Hari Ini Rebound ke 6.122, Saham Energi Belum Kompak - Listrik Indonesia",neutral,ihsg hari ini rebound ke saham energi belum kompak listrik indonesia,Listrik Indonesia,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-06-24,bootstrap_tugas_nlp_ai_trading,0.563,0.0,market_issues
"Rupiah dan IHSG Hari Ini Hadapi Ujian Berat dari AS, Ada Apa Lagi? - CNBC Indonesia",neutral,rupiah dan ihsg hari ini hadapi ujian berat dari as ada apa lagi cnbc indonesia,CNBC Indonesia,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",2026-06-24,bootstrap_tugas_nlp_ai_trading,0.6169,0.0,market_issues
Chart dan Harga Saham EMAS — IDX:EMAS - TradingView,neutral,chart dan harga saham emas idx emas tradingview,TradingView,"SAHAM, IDX, BURSA SAHAM INDONESIA",2025-09-19,bootstrap_tugas_nlp_ai_trading,0.5792,0.0,market_issues
"Pola Transaksi Saham AHAP, BNBA, dan ASJT Masuk UMA - pasardana.id",neutral,pola transaksi saham ahap bnba dan asjt masuk uma pasardana id,pasardana.id,"SAHAM, IDX, BURSA SAHAM INDONESIA",2026-01-06,bootstrap_tugas_nlp_ai_trading,0.5556,0.0,market_issues
"BEI Hentikan Sementara Perdagangan Saham EDGE, EURO, dan NZIA - pasardana.id",neutral,bei hentikan sementara perdagangan saham edge euro dan nzia pasardana id,pasardana.id,"SAHAM, IDX, BURSA SAHAM INDONESIA",2026-02-11,bootstrap_tugas_nlp_ai_trading,0.5859,0.0,market_issues
"Suspensi Perdagangan Saham LION, STAR, IBOS, dan ENZO Kembali Dibuka - pasardana.id",neutral,suspensi perdagangan saham lion star ibos dan enzo kembali dibuka pasardana id,pasardana.id,"SAHAM, IDX, BURSA SAHAM INDONESIA",2026-02-11,bootstrap_tugas_nlp_ai_trading,0.5738,0.0,market_issues
"Saham Valuasi Murah Ini Jadi Incaran Investor, Cek Pilihan Sahamnya dari IDX Value30 - TradingView",neutral,saham valuasi murah ini jadi incaran investor cek pilihan sahamnya dari idx value tradingview,TradingView,"SAHAM, IDX, BURSA SAHAM INDONESIA",2026-02-19,bootstrap_tugas_nlp_ai_trading,0.626,0.0,market_issues
Pola Transaksi Saham MYTX dan PART Masuk UMA - pasardana.id,neutral,pola transaksi saham mytx dan part masuk uma pasardana id,pasardana.id,"SAHAM, IDX, BURSA SAHAM INDONESIA",2026-02-20,bootstrap_tugas_nlp_ai_trading,0.5556,0.0,market_issues
Pola Transaksi Saham KUAS Masuk UMA - pasardana.id,neutral,pola transaksi saham kuas masuk uma pasardana id,pasardana.id,"SAHAM, IDX, BURSA SAHAM INDONESIA",2026-04-09,bootstrap_tugas_nlp_ai_trading,0.5713,0.0,market_issues
"Pola Transaksi Saham DEPO, BOBA, dan CTTH Masuk UMA - pasardana.id",neutral,pola transaksi saham depo boba dan ctth masuk uma pasardana id,pasardana.id,"SAHAM, IDX, BURSA SAHAM INDONESIA",2026-04-23,bootstrap_tugas_nlp_ai_trading,0.5556,0.0,market_issues
BEI Hentikan Sementara Perdagangan Saham BAIK dan WBSA - pasardana.id,neutral,bei hentikan sementara perdagangan saham baik dan wbsa pasardana id,pasardana.id,"SAHAM, IDX, BURSA SAHAM INDONESIA",2026-04-24,bootstrap_tugas_nlp_ai_trading,0.5553,0.0,market_issues
"Klasifikasi IDX-IC: Pengertian, Perbedaan dengan JASICA, Daftar Sektor, dan Contoh Saham - InvestasiKu",neutral,klasifikasi idx ic pengertian perbedaan dengan jasica daftar sektor dan contoh saham investasiku,InvestasiKu,"SAHAM, IDX, BURSA SAHAM INDONESIA",2026-05-12,bootstrap_tugas_nlp_ai_trading,0.5805,0.0,market_issues
"Apa Itu IPO Saham? Pengertian, Cara Pilih, Risiko, dan Cara Beli 2026 - Pluang",neutral,apa itu ipo saham pengertian cara pilih risiko dan cara beli pluang,Pluang,"SAHAM, IDX, BURSA SAHAM INDONESIA",2026-05-21,bootstrap_tugas_nlp_ai_trading,0.6122,0.0,market_issues
"Contoh Saham Bagus di BEI: Indikator, Data, dan Tips Memilih 2026 - Pluang",neutral,contoh saham bagus di bei indikator data dan tips memilih pluang,Pluang,"SAHAM, IDX, BURSA SAHAM INDONESIA",2026-05-21,bootstrap_tugas_nlp_ai_trading,0.5503,0.0,market_issues
Saham Grup Djarum di BEI: Panduan Lengkap & Terpercaya 2026 - Pluang,neutral,saham grup djarum di bei panduan lengkap terpercaya pluang,Pluang,"SAHAM, IDX, BURSA SAHAM INDONESIA",2026-05-21,bootstrap_tugas_nlp_ai_trading,0.5868,0.0,market_issues
"Saham Astra ASII: Profil, Dividen & Cara Beli Terpercaya 2026 - Pluang",neutral,saham astra asii profil dividen cara beli terpercaya pluang,Pluang,"SAHAM, IDX, BURSA SAHAM INDONESIA",2026-05-28,bootstrap_tugas_nlp_ai_trading,0.5503,0.0,market_issues
